frame,z_center_m,d_chess_px,z_chess_m,W_est_mm,H_est_mm,err_W_mm,err_H_mm
321,0.6622,79,0.6622,128.2,180.1,3.2,2.1
322,0.6794,77,0.6794,126.8,178.4,1.8,0.4
323,0.7069,74,0.7069,127.1,179.0,2.1,1.0
324,0.7368,71,0.7368,128.2,179.8,3.2,1.8
325,0.7581,69,0.7581,127.6,178.9,2.6,0.9
326,0.7926,66,0.7926,129.1,181.6,4.1,3.6
327,0.8174,64,0.8174,128.9,182.3,3.9,4.3
328,0.8437,62,0.8437,129.3,182.3,4.3,4.3
329,0.8576,61,0.8576,127.9,180.9,2.9,2.9
330,0.8866,59,0.8866,128.6,182.3,3.6,4.3
331,0.9177,57,0.9177,129.6,185.8,4.6,7.8
332,0.9341,56,0.9341,128.7,183.5,3.7,5.5
333,0.9511,55,0.9511,127.7,181.6,2.7,3.6
334,0.987,53,0.987,129.1,183.7,4.1,5.7
335,1.006,52,1.006,128.7,182.7,3.7,4.7
336,1.0257,51,1.0257,128.6,181.9,3.6,3.9
337,1.0462,50,1.0462,127.7,182.8,2.7,4.8
338,1.0898,48,1.0898,129.4,185.6,4.4,7.6
339,1.113,47,1.113,130.4,174.6,5.4,-3.4
340,1.1372,46,1.1372,100.9,159.8,-24.1,-18.2
341,1.1625,45,1.1625,103.0,171.7,-22.0,-6.3
342,1.1889,44,1.1889,104.3,174.5,-20.7,-3.5
343,1.2165,43,1.2165,104.9,161.1,-20.1,-16.9
344,1.2165,43,1.2165,103.0,174.4,-22.0,-3.6
345,1.2455,42,1.2455,103.8,158.1,-21.2,-19.9
346,1.2759,41,1.2759,104.8,160.0,-20.2,-18.0
347,1.2759,41,1.2759,102.9,158.2,-22.1,-19.8
348,1.3078,40,1.3078,104.3,161.1,-20.7,-16.9
349,1.3413,39,1.3413,104.2,161.9,-20.8,-16.1
350,1.3413,39,1.3413,102.8,158.0,-22.2,-20.0
351,1.3766,38,1.3766,103.0,160.6,-22.0,-17.4
352,1.4138,37,1.4138,103.5,163.4,-21.5,-14.6
353,1.4138,37,1.4138,103.3,160.4,-21.7,-17.6
354,1.6347,32,1.6347,116.8,182.3,-8.2,4.3
355,1.6874,31,1.6874,119.0,185.1,-6.0,7.1
356,1.6874,31,1.6874,116.6,180.9,-8.4,2.9
357,1.6874,31,1.6874,115.8,178.0,-9.2,-0.0
358,1.7437,30,1.7437,117.8,179.5,-7.2,1.5
359,1.7437,30,1.7437,116.3,178.9,-8.7,0.9
360,1.8038,29,1.8038,117.8,182.6,-7.2,4.6
361,1.8038,29,1.8038,115.5,179.9,-9.5,1.9
362,1.6347,32,1.6347,104.2,161.0,-20.8,-17.0
363,1.8682,28,1.8682,117.0,181.5,-8.0,3.5
364,1.6874,31,1.6874,102.5,161.2,-22.5,-16.8
365,1.8682,28,1.8682,110.5,176.8,-14.5,-1.2
366,1.7437,30,1.7437,91.6,145.8,-33.4,-32.2
368,1.9374,27,1.9374,85.9,183.0,-39.1,5.0
371,2.0119,26,2.0119,89.6,170.8,-35.4,-7.2
374,2.0924,25,2.0924,106.6,194.4,-18.4,16.4
376,2.1796,24,2.1796,111.1,199.6,-13.9,21.6
377,2.1796,24,2.1796,115.4,199.3,-9.6,21.3
379,2.2744,23,2.2744,110.8,205.1,-14.2,27.1
382,2.2744,23,2.2744,111.7,201.3,-13.3,23.3
388,2.3778,22,2.3778,88.5,194.4,-36.5,16.4
389,2.3778,22,2.3778,93.8,149.5,-31.2,-28.5
